Unnamed: 0;DATA INICIAL;DATA FINAL;REGIÃO;ESTADO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;MARGEM MÉDIA REVENDA;COEF DE VARIAÇÃO REVENDA;PREÇO MÉDIO DISTRIBUIÇÃO;DESVIO PADRÃO DISTRIBUIÇÃO;PREÇO MÍNIMO DISTRIBUIÇÃO;PREÇO MÁXIMO DISTRIBUIÇÃO;COEF DE VARIAÇÃO DISTRIBUIÇÃO;MÊS;ANO
231;2004-07-04;2004-07-10;NORTE;AMAZONAS;ETANOL HIDRATADO;55;R$/l;1.543;0.092;1.29;1.7;0.478;0.06;1.065;0.066;0.96;1.2053;0.062;7;2004
232;2004-07-04;2004-07-10;NORTE;PARA;ETANOL HIDRATADO;103;R$/l;1.918;0.214;1.49;2.4;0.483;0.111999999999999;1.435;0.209;0.8888;1.8066;0.146;7;2004
233;2004-07-04;2004-07-10;NORTE;RONDONIA;ETANOL HIDRATADO;96;R$/l;1.536;0.116999999999999;1.2;1.99;0.519;0.076;1.017;0.11;0.7002;1.3243;0.108;7;2004
234;2004-07-04;2004-07-10;NORTE;RORAIMA;ETANOL HIDRATADO;14;R$/l;1.676;0.042;1.6;1.7;0.499;0.025;1.177;0.066;0.9909;1.2797;0.056;7;2004
235;2004-07-04;2004-07-10;NORTE;TOCANTINS;ETANOL HIDRATADO;69;R$/l;1.304;0.085;1.149;1.58;0.559;0.065;0.745;0.095;0.597;1.0043;0.128;7;2004
236;2004-07-04;2004-07-10;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;312;R$/l;1.209;0.111;0.85;1.47;0.26;0.092;0.949;0.105;0.7246;1.2293;0.111;7;2004
237;2004-07-04;2004-07-10;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;1260;R$/l;1.266;0.105;0.99;1.875;0.325;0.083;0.941;0.118;0.3797;1.3938;0.125;7;2004
238;2004-07-04;2004-07-10;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;976;R$/l;1.207;0.162;0.84;1.559;0.216;0.134;0.991;0.191;0.4575;1.3667;0.193;7;2004
239;2004-07-04;2004-07-10;SUDESTE;SAO PAULO;ETANOL HIDRATADO;4075;R$/l;0.902;0.073;0.739;1.199;0.194;0.081;0.708;0.058;0.4757;1.0852;0.082;7;2004
240;2004-07-04;2004-07-10;SUL;PARANA;ETANOL HIDRATADO;770;R$/l;1.061;0.087;0.84;1.6;0.279;0.0819999999999999;0.782;0.128;0.4357;1;0.164;7;2004
241;2004-07-04;2004-07-10;SUL;RIO GRANDE DO SUL;ETANOL HIDRATADO;700;R$/l;1.373;0.128;1.09;1.71;0.338;0.093;1.035;0.107;0.6443;1.34;0.103;7;2004
242;2004-07-04;2004-07-10;SUL;SANTA CATARINA;ETANOL HIDRATADO;517;R$/l;1.32;0.066;1.129;1.509;0.365;0.05;0.955;0.097;0.6947;1.1828;0.102;7;2004
243;2004-07-11;2004-07-17;CENTRO OESTE;DISTRITO FEDERAL;ETANOL HIDRATADO;144;R$/l;1.293;0.111;0.99;1.45;0.361;0.086;0.932;0.134;0.508;1.4089;0.144;7;2004
244;2004-07-11;2004-07-17;CENTRO OESTE;GOIAS;ETANOL HIDRATADO;383;R$/l;1.192;0.134;0.9;1.52;0.378;0.111999999999999;0.814;0.076;0.6605;1.0999;0.093;7;2004
245;2004-07-11;2004-07-17;CENTRO OESTE;MATO GROSSO;ETANOL HIDRATADO;197;R$/l;1.46;0.099;1.24;1.71;0.424;0.068;1.036;0.094;0.82369;1.2758;0.091;7;2004
246;2004-07-11;2004-07-17;CENTRO OESTE;MATO GROSSO DO SUL;ETANOL HIDRATADO;177;R$/l;1.378;0.068;1.17;1.499;0.421;0.049;0.957;0.103;0.6321;1.257;0.108;7;2004
247;2004-07-11;2004-07-17;NORDESTE;ALAGOAS;ETANOL HIDRATADO;103;R$/l;1.306;0.038;1.19;1.4;0.232;0.0289999999999999;1.074;0.072;0.9023;1.23;0.067;7;2004
248;2004-07-11;2004-07-17;NORDESTE;BAHIA;ETANOL HIDRATADO;420;R$/l;1.477;0.125;1.162;2.05;0.424;0.085;1.053;0.173;0.5686;1.4355;0.164;7;2004
249;2004-07-11;2004-07-17;NORDESTE;CEARA;ETANOL HIDRATADO;274;R$/l;1.513;0.159;1.15;1.8;0.311;0.105;1.202;0.08;0.8572;1.3857;0.067;7;2004
250;2004-07-11;2004-07-17;NORDESTE;MARANHAO;ETANOL HIDRATADO;99;R$/l;1.645;0.134;1.35;2.0;0.417;0.081;1.228;0.138;0.9614;1.6045;0.112;7;2004
251;2004-07-11;2004-07-17;NORDESTE;PARAIBA;ETANOL HIDRATADO;128;R$/l;1.391;0.088;1.23;1.699;0.308;0.063;1.083;0.102;0.7751;1.2593;0.094;7;2004
252;2004-07-11;2004-07-17;NORDESTE;PERNAMBUCO;ETANOL HIDRATADO;424;R$/l;1.314;0.105;1.119;1.7;0.232;0.08;1.082;0.089;0.837;1.43;0.082;7;2004
253;2004-07-11;2004-07-17;NORDESTE;PIAUI;ETANOL HIDRATADO;95;R$/l;1.652;0.102;1.45;1.78;0.459;0.062;1.193;0.14;0.9634;1.391;0.117;7;2004
254;2004-07-11;2004-07-17;NORDESTE;RIO GRANDE DO NORTE;ETANOL HIDRATADO;118;R$/l;1.382;0.072;1.25;1.59;0.327;0.052;1.055;0.125;0.787;1.3143;0.118;7;2004
255;2004-07-11;2004-07-17;NORDESTE;SERGIPE;ETANOL HIDRATADO;46;R$/l;1.378;0.049;1.279;1.45;0.261;0.036;1.117;0.117;0.682;1.2671;0.105;7;2004
256;2004-07-11;2004-07-17;NORTE;ACRE;ETANOL HIDRATADO;33;R$/l;1.935;0.138;1.64;2.2;0.658;0.071;1.277;0.203;0.801;1.48;0.159;7;2004
257;2004-07-11;2004-07-17;NORTE;AMAPA;ETANOL HIDRATADO;13;R$/l;1.962;0.16;1.75;2.15;0.429;0.0819999999999999;1.533;0.157;1.3424;1.8465;0.102;7;2004
258;2004-07-11;2004-07-17;NORTE;AMAZONAS;ETANOL HIDRATADO;56;R$/l;1.54;0.0969999999999999;1.259;1.7;0.472;0.063;1.068;0.061;0.9787;1.1865;0.057;7;2004
